,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,98.54,86.93,86.62,93.76,6.14,290,2193
JITNet 0.8,97.89,82.27,76.93,88.77,20.66,67,248
JITNet 0.7,97.67,80.04,73.61,84.50,24.19,56,101
JITNet Offline Overfit,98.36,85.50,85.01,92.71,42.86,0,0
JITNet Pretrain,98.45,86.45,84.54,93.29,42.86,0,0
Flow Slow,98.73,89.08,84.42,96.21,1.20,451,0
Flow Fast,98.12,83.84,77.37,94.86,1.20,225,0
OSVOS,94.73,31.56,0.00,0.00,1.20,3600,0
OSVOS static,94.89,33.91,0.00,0.00,1.20,3600,0
