,background,person,Speed up,Samples,Updates
JITNet 0.9,99.61,83.96,4.07,451,3608
JITNet 0.8,99.49,79.20,12.04,139,793
JITNet 0.7,99.33,73.84,23.02,62,118
JITNet Offline Overfit,99.50,79.38,42.86,0,0
JITNet Pretrain,99.49,79.19,42.86,0,0
Flow Slow,99.40,74.92,1.20,451,0
Flow Fast,99.09,63.71,1.20,225,0
OSVOS,99.40,76.24,1.20,3600,0
OSVOS static,99.39,76.08,1.20,3600,0
