,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,98.88,68.30,91.29,4.81,380,2937
JITNet 0.8,98.80,66.74,90.61,6.28,287,2088
JITNet 0.7,98.69,61.87,89.83,8.83,201,1276
JITNet Offline Overfit,98.86,63.92,91.18,42.86,0,0
JITNet Pretrain,98.86,60.51,91.20,42.86,0,0
Flow Slow,98.24,70.00,85.47,1.20,451,0
Flow Fast,97.35,57.17,78.10,1.20,225,0
OSVOS,99.35,16.32,0.00,1.20,3600,0
OSVOS static,99.35,16.23,0.00,1.20,3600,0
