,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,98.27,68.74,94.25,11.53,4.11,447,3554
JITNet 0.8,98.05,66.23,93.29,29.54,4.57,402,3116
JITNet 0.7,97.53,60.23,91.27,14.06,7.43,240,1660
JITNet Offline Overfit,97.44,62.56,90.82,0.00,42.86,0,0
JITNet Pretrain,97.46,61.68,90.77,17.38,42.86,0,0
Flow Slow,97.08,72.41,87.44,58.37,1.20,451,0
Flow Fast,95.08,57.83,77.99,40.64,1.20,225,0
OSVOS,98.62,25.61,0.00,0.00,1.20,3600,0
OSVOS static,98.67,28.98,0.00,0.00,1.20,3600,0
