,background,person,Speed up,Samples,Updates
JITNet 0.9,99.64,89.45,12.23,138,755
JITNet 0.8,99.54,86.70,24.83,56,63
JITNet 0.7,99.45,84.58,24.95,56,56
JITNet Offline Overfit,99.67,90.29,42.86,0,0
JITNet Pretrain,99.64,89.40,42.86,0,0
Flow Slow,99.57,87.35,1.20,451,0
Flow Fast,99.31,79.73,1.20,225,0
OSVOS,99.51,86.30,1.20,3600,0
OSVOS static,99.51,86.17,1.20,3600,0
