,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,99.50,65.46,97.27,85.68,4.30,426,3372
JITNet 0.8,99.47,64.57,97.05,84.89,5.20,353,2629
JITNet 0.7,99.37,56.71,96.33,82.60,8.23,211,1473
JITNet Offline Overfit,99.44,62.72,96.94,83.99,42.86,0,0
JITNet Pretrain,99.41,59.74,96.85,83.33,42.86,0,0
Flow Slow,99.37,68.02,95.43,87.27,1.20,451,0
Flow Fast,99.02,55.41,92.40,82.44,1.20,225,0
OSVOS,99.59,28.93,0.00,0.00,1.20,3600,0
OSVOS static,99.59,28.49,0.00,0.00,1.20,3600,0
