,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,99.58,59.19,86.98,77.32,4.07,451,3608
JITNet 0.8,99.57,59.18,86.59,76.89,4.30,427,3365
JITNet 0.7,99.53,55.69,85.30,75.36,5.95,305,2227
JITNet Offline Overfit,99.52,48.11,86.18,66.30,42.86,0,0
JITNet Pretrain,99.49,47.73,84.83,69.84,42.86,0,0
Flow Slow,99.44,72.72,77.84,86.87,1.20,451,0
Flow Fast,99.10,61.58,64.47,82.18,1.20,225,0
OSVOS,99.61,18.79,0.00,0.00,1.20,3600,0
OSVOS static,99.61,18.62,0.00,0.00,1.20,3600,0
