,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.04,66.54,89.29,4.07,451,3608
JITNet 0.8,99.04,66.33,89.30,4.14,444,3513
JITNet 0.7,98.85,60.61,87.20,5.95,307,2213
JITNet Offline Overfit,98.84,63.82,87.12,42.86,0,0
JITNet Pretrain,98.82,61.77,87.01,42.86,0,0
Flow Slow,98.63,75.25,82.74,1.20,451,0
Flow Fast,97.93,64.28,73.99,1.20,225,0
OSVOS,99.65,28.83,0.00,1.20,3600,0
OSVOS static,99.65,29.07,0.00,1.20,3600,0
