,background,person,Speed up,Samples,Updates
JITNet 0.9,98.84,71.64,4.70,390,3003
JITNet 0.8,98.48,63.32,11.34,147,899
JITNet 0.7,98.27,59.42,20.48,68,254
JITNet Offline Overfit,98.93,74.69,42.86,0,0
JITNet Pretrain,98.79,72.18,42.86,0,0
Flow Slow,98.46,59.93,1.20,451,0
Flow Fast,97.84,42.79,1.20,225,0
OSVOS,97.84,44.76,1.20,3600,0
OSVOS static,97.78,44.41,1.20,3600,0
