,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.57,67.22,93.30,4.07,451,3608
JITNet 0.8,99.56,67.19,93.13,4.22,436,3439
JITNet 0.7,99.50,63.20,91.91,5.90,310,2232
JITNet Offline Overfit,99.49,59.75,92.35,42.86,0,0
JITNet Pretrain,99.46,58.62,91.75,42.86,0,0
Flow Slow,99.15,75.63,80.44,1.20,451,0
Flow Fast,98.57,64.61,66.83,1.20,225,0
OSVOS,99.57,27.80,0.00,1.20,3600,0
OSVOS static,99.57,28.11,0.00,1.20,3600,0
