,background,person,giraffe,Speed up,Samples,Updates
JITNet 0.9,98.19,94.26,82.69,7.02,253,1817
JITNet 0.8,97.30,91.18,75.21,14.46,108,595
JITNet 0.7,97.09,90.56,72.03,19.05,77,298
JITNet Offline Overfit,95.79,87.48,68.18,42.86,0,0
JITNet Pretrain,95.81,83.77,78.01,42.86,0,0
Flow Slow,96.22,83.73,76.50,1.20,451,0
Flow Fast,94.13,73.50,66.61,1.20,225,0
OSVOS,98.37,89.89,0.00,1.20,3600,0
OSVOS static,98.56,91.08,0.00,1.20,3600,0
