,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.11,73.48,92.19,4.07,451,3607
JITNet 0.8,98.90,68.10,89.76,5.80,311,2330
JITNet 0.7,98.60,58.13,87.33,9.73,176,1142
JITNet Offline Overfit,99.04,73.15,91.09,42.86,0,0
JITNet Pretrain,98.94,70.04,90.23,42.86,0,0
Flow Slow,98.98,70.68,90.54,1.20,451,0
Flow Fast,98.40,55.99,84.71,1.20,225,0
OSVOS,98.90,29.10,0.00,1.20,3600,0
OSVOS static,98.82,24.64,0.00,1.20,3600,0
