,background,person,dog,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.17,83.05,85.35,87.16,7.80,227,1560
JITNet 0.8,98.79,76.60,79.28,75.14,17.88,82,372
JITNet 0.7,98.66,74.06,76.03,72.16,21.66,65,187
JITNet Offline Overfit,99.11,81.95,87.19,86.88,42.86,0,0
JITNet Pretrain,99.05,80.24,86.65,84.60,42.86,0,0
Flow Slow,98.69,77.48,67.77,83.78,1.20,451,0
Flow Fast,98.06,66.82,53.90,73.19,1.20,225,0
OSVOS,98.84,71.84,0.00,0.00,1.20,3600,0
OSVOS static,98.86,72.26,0.00,0.00,1.20,3600,0
