,background,person,horse,Speed up,Samples,Updates
JITNet 0.9,93.06,85.60,80.88,10.65,157,1008
JITNet 0.8,91.90,82.56,75.69,17.94,81,376
JITNet 0.7,91.82,80.34,72.21,17.79,86,344
JITNet Offline Overfit,94.68,87.49,85.28,42.86,0,0
JITNet Pretrain,94.03,86.02,83.37,42.86,0,0
Flow Slow,92.00,83.76,86.09,1.20,451,0
Flow Fast,86.60,72.23,75.42,1.20,225,0
OSVOS,92.60,75.53,0.00,1.20,3600,0
OSVOS static,92.59,75.02,0.00,1.20,3600,0
