,background,person,dog,car_bus_truck,Speed up,Samples,Updates
JITNet 0.8,98.66,80.27,77.73,85.57,21.38,964,5240
JITNet 0.8 max updates 4,98.69,80.76,77.22,85.50,17.69,1290,3979
JITNet 0.8 max updates 16,98.72,80.43,75.47,86.37,27.40,658,5002
JITNet 0.8 lr 0.001,98.65,79.73,77.83,85.74,14.12,1586,9854
JITNet 0.8 lr 0.1,94.90,28.12,27.28,24.98,8.08,2898,22424
JITNet 0.8 min stride 4,98.72,80.61,76.67,85.59,20.20,1038,5642
JITNet 0.8 min stride 16,98.66,80.40,77.30,84.53,25.15,780,4029
