,background,person,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.8,91.55,81.18,63.40,10.42,2203,16021
JITNet 0.8 max updates 4,91.70,81.32,63.99,8.47,2983,11363
JITNet 0.8 max updates 16,90.71,79.06,60.69,17.54,1073,13851
JITNet 0.8 lr 0.001,91.75,81.52,64.42,7.51,3146,23903
JITNet 0.8 lr 0.1,69.97,3.47,0.90,6.38,3723,29762
JITNet 0.8 min stride 4,91.97,81.96,65.57,6.86,3496,25376
JITNet 0.8 min stride 16,91.10,80.18,61.97,15.35,1403,10327
