,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.8,98.27,83.41,95.33,90.64,25.99,754,3471
JITNet 0.8 max updates 4,98.22,83.03,95.30,90.42,21.95,986,2740
JITNet 0.8 max updates 16,98.19,82.67,95.09,89.25,32.57,533,2845
JITNet 0.8 lr 0.001,98.13,82.24,95.13,89.12,16.46,1326,7902
JITNet 0.8 lr 0.1,89.80,52.05,6.89,45.34,9.60,2403,18124
JITNet 0.8 min stride 4,98.25,83.17,95.13,90.41,25.04,795,3613
JITNet 0.8 min stride 16,98.21,82.89,95.17,89.23,29.20,643,2730
