,background,person,giraffe,Speed up,Samples,Updates
JITNet 0.9,97.88,94.25,80.93,7.43,1991,13938
JITNet 0.8,97.29,92.75,75.48,16.96,738,3476
JITNet 0.7,97.11,92.33,73.24,20.90,571,1779
JITNet Offline Overfit,97.38,92.82,78.24,42.86,0,0
JITNet Pretrain,97.13,91.45,78.42,42.86,0,0
Flow Slow,95.40,82.97,76.20,1.20,3750,0
Flow Fast,92.81,71.79,66.56,1.20,1875,0
OSVOS,98.37,89.89,0.00,1.20,3600,0
