,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.53,67.96,92.97,4.09,3733,29803
JITNet 0.8,99.52,68.00,92.67,4.52,3385,26321
JITNet 0.7,99.41,62.93,90.94,6.97,2145,15074
JITNet Offline Overfit,99.45,61.48,91.80,42.86,0,0
JITNet Pretrain,99.27,54.79,88.81,42.86,0,0
Flow Slow,99.19,78.15,83.95,1.20,3750,0
Flow Fast,98.63,68.00,72.76,1.20,1875,0
OSVOS,99.57,27.80,0.00,1.20,3600,0
