,background,person,car,Speed up,Samples,Updates
JITNet 0.9,96.70,77.23,62.91,4.77,3205,24649
JITNet 0.8,95.85,72.12,63.63,6.45,2338,16705
JITNet 0.7,95.10,66.92,52.73,8.51,1723,11418
JITNet Offline Overfit,96.48,75.10,61.70,42.86,0,0
JITNet Pretrain,96.96,77.69,60.68,42.86,0,0
Flow Slow,95.20,60.87,80.13,1.20,3750,0
Flow Fast,93.03,41.54,70.83,1.20,1875,0
OSVOS,97.79,68.35,0.00,1.20,3600,0
