,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,99.39,70.15,96.26,84.70,4.18,3658,29070
JITNet 0.8,99.34,68.52,95.79,83.44,5.31,2861,21516
JITNet 0.7,99.21,61.04,94.95,80.33,8.78,1644,11115
JITNet Offline Overfit,99.27,64.48,95.52,81.86,42.86,0,0
JITNet Pretrain,98.99,52.07,93.08,75.98,42.86,0,0
Flow Slow,99.16,71.96,92.98,86.58,1.20,3750,0
Flow Fast,98.68,59.80,88.37,81.27,1.20,1875,0
OSVOS,99.59,28.93,0.00,0.00,1.20,3600,0
