,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,97.04,80.85,55.11,63.20,4.48,3402,26754
JITNet 0.8,95.96,74.43,46.65,57.78,5.30,2847,21797
JITNet 0.7,95.65,72.93,40.18,52.96,5.92,2545,18856
JITNet Offline Overfit,95.96,73.96,30.92,45.65,42.86,0,0
JITNet Pretrain,94.58,65.42,32.96,41.14,42.86,0,0
Flow Slow,95.74,69.10,63.00,66.98,1.20,3750,0
Flow Fast,93.51,51.71,50.56,54.06,1.20,1875,0
OSVOS,97.58,47.81,0.00,0.00,1.20,3600,0
