,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,98.97,68.81,89.86,4.07,3751,30008
JITNet 0.8,98.95,67.38,89.65,4.34,3519,27697
JITNet 0.7,98.77,62.86,87.98,6.97,2147,15047
JITNet Offline Overfit,98.73,62.94,87.70,42.86,0,0
JITNet Pretrain,98.61,58.71,86.53,42.86,0,0
Flow Slow,98.47,79.33,82.65,1.20,3750,0
Flow Fast,97.68,69.90,73.73,1.20,1875,0
OSVOS,99.65,28.83,0.00,1.20,3600,0
