,background,person,Speed up,Samples,Updates
JITNet 0.9,98.42,84.21,6.12,2452,18094
JITNet 0.8,97.91,79.46,13.21,1026,5692
JITNet 0.7,97.28,74.35,17.37,735,3090
JITNet Offline Overfit,98.17,82.08,42.86,0,0
JITNet Pretrain,98.17,82.13,42.86,0,0
Flow Slow,97.70,75.45,1.20,3750,0
Flow Fast,96.33,60.44,1.20,1875,0
OSVOS,96.74,71.30,1.20,3600,0
