,background,person,dog,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.05,85.50,82.76,91.10,5.98,2523,18531
JITNet 0.8,98.66,80.27,77.73,85.57,13.85,964,5240
JITNet 0.7,98.56,78.95,72.89,83.40,19.02,646,2461
JITNet Offline Overfit,98.91,83.44,83.39,91.33,42.86,0,0
JITNet Pretrain,98.64,78.82,78.53,87.37,42.86,0,0
Flow Slow,98.63,80.87,69.05,91.26,1.20,3750,0
Flow Fast,97.96,71.47,56.32,85.66,1.20,1875,0
OSVOS,98.84,71.84,0.00,0.00,1.20,3600,0
