,background,person,Speed up,Samples,Updates
JITNet 0.9,99.68,88.83,8.46,1716,11692
JITNet 0.8,99.57,85.34,18.62,688,2396
JITNet 0.7,99.52,83.81,23.94,496,686
JITNet Offline Overfit,99.69,89.25,42.86,0,0
JITNet Pretrain,99.62,86.85,42.86,0,0
Flow Slow,99.63,86.73,1.20,3750,0
Flow Fast,99.41,79.17,1.20,1875,0
