,background,person,car_bus_truck,Speed up,Samples,Updates
JITNet 0.9,99.05,66.60,91.78,4.76,3198,24778
JITNet 0.8,98.98,64.78,91.13,6.10,2479,17999
JITNet 0.7,98.90,60.88,90.53,8.34,1769,11681
JITNet Offline Overfit,98.99,61.76,91.26,42.86,0,0
JITNet Pretrain,98.82,57.57,89.78,42.86,0,0
Flow Slow,98.44,70.39,85.50,1.20,3750,0
Flow Fast,97.62,58.00,77.89,1.20,1875,0
OSVOS,99.35,16.32,0.00,1.20,3600,0
