,background,person,Speed up,Samples,Updates
JITNet 0.9,99.12,83.46,7.00,2107,15263
JITNet 0.8,98.81,78.02,17.37,725,3195
JITNet 0.7,98.65,75.45,22.09,542,1287
JITNet Offline Overfit,99.05,82.29,42.86,0,0
JITNet Pretrain,98.93,80.22,42.86,0,0
Flow Slow,99.17,83.47,1.20,3750,0
Flow Fast,98.62,72.83,1.20,1875,0
OSVOS,98.21,70.47,1.20,3600,0
