,background,person,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,92.62,83.23,67.44,4.11,3715,29634
JITNet 0.8,91.55,81.18,63.40,6.74,2203,16021
JITNet 0.7,90.17,78.10,58.28,12.70,1052,6339
JITNet Offline Overfit,90.81,79.63,61.68,42.86,0,0
JITNet Pretrain,90.13,78.62,60.94,42.86,0,0
Flow Slow,90.26,76.68,66.49,1.20,3750,0
Flow Fast,86.33,65.63,56.92,1.20,1875,0
OSVOS,89.11,70.00,0.00,1.20,3600,0
