,background,person,Speed up,Samples,Updates
JITNet 0.9,98.85,84.21,4.72,3232,25056
JITNet 0.8,98.43,78.96,11.96,1147,6877
JITNet 0.7,98.16,75.69,20.62,588,1807
JITNet Offline Overfit,98.66,81.87,42.86,0,0
JITNet Pretrain,80.28,6.48,42.86,0,0
Flow Slow,97.75,68.04,1.20,3750,0
Flow Fast,96.79,54.49,1.20,1875,0
OSVOS,97.63,68.15,1.20,3600,0
