,background,person,Speed up,Samples,Updates
JITNet 0.9,99.63,79.94,4.08,3748,29969
JITNet 0.8,99.57,76.63,6.93,2147,15345
JITNet 0.7,99.44,70.80,15.39,853,4159
JITNet Offline Overfit,99.53,74.55,42.86,0,0
JITNet Pretrain,99.44,69.93,42.86,0,0
Flow Slow,99.46,70.51,1.20,3750,0
Flow Fast,99.21,58.50,1.20,1875,0
OSVOS,99.40,76.24,1.20,3600,0
