,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,98.77,87.75,97.12,93.91,6.40,2337,17021
JITNet 0.8,98.27,83.41,95.33,90.64,16.82,754,3471
JITNet 0.7,98.05,81.32,94.74,87.87,20.99,574,1687
JITNet Offline Overfit,98.56,85.79,96.66,93.26,42.86,0,0
JITNet Pretrain,93.82,80.74,29.65,88.30,42.86,0,0
Flow Slow,98.91,90.09,96.17,95.98,1.20,3750,0
Flow Fast,98.33,85.13,93.90,94.56,1.20,1875,0
OSVOS,94.73,31.56,0.00,0.00,1.20,3600,0
