,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,98.38,69.61,93.94,36.66,4.12,3717,29587
JITNet 0.8,98.28,68.59,93.50,42.45,4.45,3437,26868
JITNet 0.7,98.02,64.22,92.47,34.66,5.74,2637,19491
JITNet Offline Overfit,97.78,61.82,91.34,0.00,42.86,0,0
JITNet Pretrain,96.92,53.59,86.69,18.22,42.86,0,0
Flow Slow,97.49,68.24,88.76,59.72,1.20,3750,0
Flow Fast,95.69,53.08,79.61,46.28,1.20,1875,0
OSVOS,98.62,25.61,0.00,0.00,1.20,3600,0
